objectid,filename,title,creator,date,subject,notes,condition,format original,format,type,identifier,language,rights,rightsstatement
TEES_2000_001_001,TEES_2000_001_001.jpg,Come to Camp Nowanaweene with Sue Fink,June L Mazer Lesbian Archives,,"Summer Camp,Music","Signed by Sue Fink to Mary and Kathy Fink

Duplicate without signature or cut neckline: TEES_2000_009_026",Frayed neck,T-Shirt,,,,,,"Property rights to the physical objects belong to the June L. Mazer Lesbian Archives. All other rights, including copyright, are retained by the creators and their heirs. It is the responsibility of the researcher to determine who holds the copyright and pursue the copyright owner or heir for permission to publish where the June L. Mazer Lesbian Archives do not hold the copyright."
TEES_2000_001_002,TEES_2000_001_002.jpg,Salon 82-83,June L Mazer Lesbian Archives,1984,,,good,T-Shirt,,,,,,"Property rights to the physical objects belong to the June L. Mazer Lesbian Archives. All other rights, including copyright, are retained by the creators and their heirs. It is the responsibility of the researcher to determine who holds the copyright and pursue the copyright owner or heir for permission to publish where the June L. Mazer Lesbian Archives do not hold the copyright."
TEES_2000_001_003,TEES_2000_001_003.jpg,Holly Near On Tour for a Nuclear Free Future Boston 82,June L Mazer Lesbian Archives,1983,"Music,Anti-Nuclear,Holly Near",,"holes,stains,Faded",T-Shirt,,,,,,"Property rights to the physical objects belong to the June L. Mazer Lesbian Archives. All other rights, including copyright, are retained by the creators and their heirs. It is the responsibility of the researcher to determine who holds the copyright and pursue the copyright owner or heir for permission to publish where the June L. Mazer Lesbian Archives do not hold the copyright."
TEES_2000_001_004,TEES_2000_001_004.jpg,Sonoma County Womyn's Music Festival 1983,June L Mazer Lesbian Archives,1984,"Music,Sonoma County,Festival,Michigan Womyn's Music Festivall",,good,T-Shirt,,,,,,"Property rights to the physical objects belong to the June L. Mazer Lesbian Archives. All other rights, including copyright, are retained by the creators and their heirs. It is the responsibility of the researcher to determine who holds the copyright and pursue the copyright owner or heir for permission to publish where the June L. Mazer Lesbian Archives do not hold the copyright."
TEES_2000_001_005,TEES_2000_001_005.jpg,"Rhythm Fest Women's Music, Art, and Politics",June L Mazer Lesbian Archives,,"Music,Rhythm Fest",,stains,T-Shirt,,,,,,"Property rights to the physical objects belong to the June L. Mazer Lesbian Archives. All other rights, including copyright, are retained by the creators and their heirs. It is the responsibility of the researcher to determine who holds the copyright and pursue the copyright owner or heir for permission to publish where the June L. Mazer Lesbian Archives do not hold the copyright."
TEES_2000_001_006,TEES_2000_001_006.jpg,Out and About on Broadway,June L Mazer Lesbian Archives,,Marches,,good,T-Shirt,,,,,,"Property rights to the physical objects belong to the June L. Mazer Lesbian Archives. All other rights, including copyright, are retained by the creators and their heirs. It is the responsibility of the researcher to determine who holds the copyright and pursue the copyright owner or heir for permission to publish where the June L. Mazer Lesbian Archives do not hold the copyright."
TEES_2000_001_007,TEES_2000_001_007.jpg,Los Angeles Music Dance Art by Gravity Graphics,June L Mazer Lesbian Archives,,"Music,AIDS","Pink triangle graphic
",Faded,T-Shirt,,,,,,"Property rights to the physical objects belong to the June L. Mazer Lesbian Archives. All other rights, including copyright, are retained by the creators and their heirs. It is the responsibility of the researcher to determine who holds the copyright and pursue the copyright owner or heir for permission to publish where the June L. Mazer Lesbian Archives do not hold the copyright."
TEES_2000_001_008,TEES_2000_001_008.jpg,Best of Times Judy Fjell with Crystal Reeves,June L Mazer Lesbian Archives,1984,Music,,good,T-Shirt,,,,,,"Property rights to the physical objects belong to the June L. Mazer Lesbian Archives. All other rights, including copyright, are retained by the creators and their heirs. It is the responsibility of the researcher to determine who holds the copyright and pursue the copyright owner or heir for permission to publish where the June L. Mazer Lesbian Archives do not hold the copyright."
TEES_2000_001_009,TEES_2000_001_009.jpg,Rhythm Fest Women's Music Art and Politics 1991 by Karen Marie Porter,June L Mazer Lesbian Archives,1992,"Karen Marie Porter,Rhythm Fest",,stains,T-Shirt,,,,,,"Property rights to the physical objects belong to the June L. Mazer Lesbian Archives. All other rights, including copyright, are retained by the creators and their heirs. It is the responsibility of the researcher to determine who holds the copyright and pursue the copyright owner or heir for permission to publish where the June L. Mazer Lesbian Archives do not hold the copyright."
TEES_2000_001_010,TEES_2000_001_010.jpg,"Pride Wo/Men's Alliance for Medical Marijuana Santa Cruz, CA",June L Mazer Lesbian Archives,2000,"Jean Hanamoto,Marijuana,Pride",garlic.com/-artworks/marijuana_art,good,T-Shirt,,,,,,"Property rights to the physical objects belong to the June L. Mazer Lesbian Archives. All other rights, including copyright, are retained by the creators and their heirs. It is the responsibility of the researcher to determine who holds the copyright and pursue the copyright owner or heir for permission to publish where the June L. Mazer Lesbian Archives do not hold the copyright."
